Field,Llama Positive Agreement,Llama Negative Agreement,Llama False Positive,Llama False Negative,Soft Label 0.5,Qwen Positive Agreement,Qwen Negative Agreement,Qwen False Positive,Qwen False Negative
ask a genuine question,0.01,0.808,0.002,0.086,0.094,0.048,0.788,0.022,0.048
ask a rhetorical question,0.004,0.772,0.016,0.07,0.138,0.006,0.738,0.05,0.068
provide a fact or claim,0.062,0.236,0.01,0.33,0.362,0.252,0.172,0.074,0.14
provide an observation,0.018,0.518,0.01,0.178,0.276,0.146,0.256,0.272,0.05
express their opinion,0.56,0.068,0.026,0.14,0.206,0.652,0.032,0.062,0.048
express others opinions,0.008,0.678,0.022,0.046,0.246,0.034,0.528,0.172,0.02
money aid allocation,0.002,0.616,0.0,0.076,0.306,0.05,0.526,0.09,0.028
government critique,0.03,0.756,0.03,0.026,0.158,0.056,0.494,0.292,0.0
societal critique,0.04,0.468,0.144,0.034,0.314,0.038,0.472,0.14,0.036
solutions/interventions,0.002,0.394,0.0,0.302,0.302,0.182,0.342,0.052,0.122
personal interaction,0.002,0.794,0.0,0.072,0.132,0.046,0.636,0.158,0.028
media portrayal,0.0,0.956,0.008,0.002,0.034,0.002,0.76,0.204,0.0
not in my backyard,0.024,0.624,0.172,0.018,0.162,0.032,0.524,0.272,0.01
harmful generalization,0.04,0.508,0.152,0.032,0.268,0.062,0.344,0.316,0.01
deserving/undeserving,0.0,0.86,0.06,0.002,0.078,0.0,0.658,0.262,0.002
racist,0.0,0.994,0.0,0.0,0.006,0.0,0.994,0.0,0.0
